feature,mean_abs_shap
pm2_5,10.79066021381622
sulphur_dioxide_lag_1h,9.706413610987008
sulphur_dioxide,8.300260735474428
aqi_roll_mean_12h,6.440056725180659
aqi_roll_max_24h,5.972157346411006
aqi_roll_mean_24h,5.949772903689605
temperature_2m_lag_24h,4.89928471852187
pm2_5_roll_mean_6h,4.408343505752489
pm2_5_lag_24h,4.233007682798676
aqi_roll_mean_6h,3.908055953372292
month_cos,3.7847462110771666
temperature_2m,3.4903803985172406
carbon_monoxide_lag_1h,2.8690553912055083
surface_pressure_lag_6h,2.7291861434718516
ozone,2.669680443874835
pm2_5_roll_mean_12h,2.468943064249972
sulphur_dioxide_lag_3h,2.3869665482721536
carbon_monoxide,2.315175385788105
wind_speed_10m,2.3016660640435544
surface_pressure_lag_1h,2.280770538105947
temperature_2m_lag_6h,2.2735119194998172
us_aqi_lag_2h,2.239088028191379
relative_humidity_2m_lag_24h,2.1967946136470933
aqi_roll_min_24h,1.8389651079610114
aqi_roll_mean_3h,1.688093318914039
surface_pressure_lag_3h,1.6733738630796007
day_of_year,1.6031603549954747
us_aqi_lag_6h,1.5160444853396047
us_aqi,1.4673901160689065
us_aqi_lag_3h,1.4226829973192143
nitrogen_dioxide_lag_3h,1.3486379253235314
wind_dir_sin,1.3169453905895234
carbon_monoxide_lag_3h,1.3139095365562146
us_aqi_lag_1h,1.3034215997906118
temperature_2m_roll_mean_24h,1.2689720776491504
surface_pressure_lag_12h,1.2652463295605336
pm2_5_lag_3h,1.2337848952459032
pm10,1.1611639000317404
pm10_lag_1h,1.1209304508056965
nitrogen_dioxide,1.116157255873584
wind_gusts_10m,1.1135678647574914
temperature_2m_lag_1h,1.1078928867003597
hour_sin,1.0990240226468253
aqi_roll_std_24h,1.0765785988032652
month_sin,1.074890290890874
pm2_5_lag_6h,1.066655948488571
month,0.9926570264023737
us_aqi_lag_24h,0.9186094027086076
pm2_5_lag_12h,0.8726256957013027
us_aqi_lag_12h,0.8592263652013814
hour_cos,0.84434425522121
wind_speed_10m_roll_mean_6h,0.8285807723955155
nitrogen_dioxide_lag_6h,0.7706756986834543
relative_humidity_2m_roll_mean_6h,0.7352808600736226
sulphur_dioxide_lag_6h,0.7216275076181653
ozone_lag_24h,0.7090058564882378
wind_speed_10m_lag_1h,0.7010864644938913
wind_speed_10m_lag_24h,0.6653704638497929
pm2_5_roll_mean_24h,0.6459824292904907
pm2_5_lag_1h,0.6361443401847816
sulphur_dioxide_lag_24h,0.6307522289998635
temperature_2m_roll_mean_6h,0.5957440145088942
dow_sin,0.5921109628439087
sulphur_dioxide_lag_12h,0.589643901895572
ozone_lag_6h,0.5611852602148634
aqi_roll_std_12h,0.5499918121907517
temperature_2m_lag_3h,0.5435133318668354
relative_humidity_2m_lag_6h,0.5084584743494776
nitrogen_dioxide_lag_1h,0.5048002964566487
aqi_roll_std_6h,0.4719228398946346
temperature_2m_lag_12h,0.46929454638900214
wind_speed_10m_lag_3h,0.45566544357803473
relative_humidity_2m_roll_mean_24h,0.4449769612096298
pm10_roll_mean_24h,0.42897440432305334
nitrogen_dioxide_lag_12h,0.3861185930607742
relative_humidity_2m,0.37692764327146044
wind_dir_cos,0.37024041995641416
us_aqi_lag_48h,0.36954068989734706
pm10_roll_mean_12h,0.3518255489765537
is_weekend,0.35036915858087736
ozone_lag_1h,0.3362719104664568
us_aqi_lag_72h,0.29834603331318316
carbon_monoxide_lag_24h,0.29730525176853473
cloud_cover,0.27385236375184613
pm10_lag_24h,0.26881566506743976
ozone_lag_12h,0.2531438362021148
day_of_week,0.21990765521261618
carbon_monoxide_lag_12h,0.2189570392222763
wind_speed_10m_lag_6h,0.21865683679838874
relative_humidity_2m_lag_12h,0.2184208358557475
pm10_roll_mean_6h,0.20916051781853048
pm10_lag_3h,0.19063953443520318
dow_cos,0.1845518506722949
relative_humidity_2m_lag_1h,0.1655656481426782
day_of_month,0.16554201756895645
pm10_lag_6h,0.16018153876446478
relative_humidity_2m_lag_3h,0.1518186439376443
surface_pressure,0.13926293279609225
hour,0.13227322959337684
wind_speed_10m_roll_mean_24h,0.1238474579743387
surface_pressure_lag_24h,0.10592446475401038
us_aqi_lag_168h,0.09359097377607588
aqi_change_1h,0.08468198734052007
ozone_lag_3h,0.05440859834901936
carbon_monoxide_lag_6h,0.050166147788055726
pm10_lag_12h,0.04778374831455872
nitrogen_dioxide_lag_24h,0.04457280165799571
precipitation_roll_sum_24h,0.027210247650812355
aqi_pct_change_1h,0.021913151392630233
aqi_change_6h,0.01966648848604951
wind_speed_10m_lag_12h,0.007965956413125004
precipitation_roll_sum_6h,0.006496660880632044
aqi_change_3h,0.006381187404169701
precipitation,0.0005835711442100309
rain,0.0005835711442100066
